Paso, Clase 1, Clase 2, Clase 3, Clase 4, Clase 5, Clase 6, Clase 7, Clase 8, Clase 9, Clase 10
291, 2612, 1243, 856, 315, 4, 67, 295, 842, 1079, 2687
292, 2635, 1234, 839, 320, 2, 70, 314, 806, 1046, 2734
293, 2603, 1238, 864, 324, 1, 80, 313, 828, 1027, 2722
294, 2596, 1234, 877, 322, 1, 80, 304, 809, 1108, 2669
295, 2606, 1206, 865, 350, 3, 70, 311, 812, 1161, 2616
296, 2592, 1203, 919, 315, 1, 71, 331, 789, 1135, 2644
297, 2633, 1180, 911, 304, 2, 76, 305, 808, 1087, 2694
298, 2640, 1210, 863, 316, 1, 81, 314, 798, 1026, 2751
299, 2614, 1247, 833, 329, 7, 82, 332, 771, 1062, 2723
300, 2647, 1163, 913, 305, 2, 77, 306, 813, 1060, 2714
301, 2619, 1222, 880, 306, 3, 78, 318, 798, 1050, 2726
302, 2643, 1190, 897, 292, 8, 80, 318, 801, 1016, 2755
303, 2642, 1208, 881, 294, 5, 70, 330, 781, 1040, 2749
304, 2629, 1214, 882, 304, 1, 81, 326, 772, 1048, 2743
305, 2641, 1210, 841, 336, 2, 77, 323, 766, 1099, 2705
306, 2629, 1199, 882, 319, 1, 83, 280, 839, 1074, 2694
307, 2632, 1209, 867, 321, 1, 76, 290, 835, 1066, 2703
308, 2644, 1194, 852, 338, 2, 76, 318, 798, 1066, 2712
309, 2655, 1189, 856, 327, 3, 60, 314, 805, 1102, 2689
310, 2661, 1207, 849, 311, 2, 68, 308, 782, 1086, 2726
311, 2669, 1208, 847, 304, 2, 61, 307, 799, 1059, 2744
312, 2689, 1187, 874, 277, 3, 62, 286, 814, 1044, 2764
313, 2681, 1194, 839, 314, 2, 72, 301, 790, 1051, 2756
314, 2678, 1191, 847, 313, 1, 70, 296, 793, 1074, 2737
315, 2684, 1162, 862, 320, 2, 67, 288, 825, 1072, 2718
316, 2676, 1173, 875, 303, 3, 73, 298, 791, 1076, 2732
317, 2694, 1172, 839, 324, 1, 70, 312, 788, 1034, 2766
318, 2717, 1168, 843, 302, 0, 68, 299, 778, 1035, 2790
319, 2716, 1156, 846, 308, 4, 63, 300, 789, 1058, 2760
